Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
        60, 8/03/2016,10:12:20,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        61, 8/03/2016,10:12:21,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        62, 8/03/2016,10:12:22,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        63, 8/03/2016,10:12:23,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        64, 8/03/2016,10:12:24,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        65, 8/03/2016,10:12:25,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        66, 8/03/2016,10:12:26,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        67, 8/03/2016,10:12:27,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        68, 8/03/2016,10:12:28,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        69, 8/03/2016,10:12:29,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        70, 8/03/2016,10:12:30,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        71, 8/03/2016,10:12:31,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        72, 8/03/2016,10:12:32,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        73, 8/03/2016,10:12:33,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        74, 8/03/2016,10:12:34,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        75, 8/03/2016,10:12:35,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        76, 8/03/2016,10:12:36,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        77, 8/03/2016,10:12:37,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        78, 8/03/2016,10:12:38,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        79, 8/03/2016,10:12:39,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        80, 8/03/2016,10:12:40,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        81, 8/03/2016,10:12:41,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        82, 8/03/2016,10:12:42,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        83, 8/03/2016,10:12:43,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        84, 8/03/2016,10:12:44,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        85, 8/03/2016,10:12:45,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        86, 8/03/2016,10:12:46,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        87, 8/03/2016,10:12:47,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        88, 8/03/2016,10:12:48,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        89, 8/03/2016,10:12:49,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        90, 8/03/2016,10:12:50,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        91, 8/03/2016,10:12:51,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        92, 8/03/2016,10:12:52,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        93, 8/03/2016,10:12:53,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        94, 8/03/2016,10:12:54,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        95, 8/03/2016,10:12:55,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        96, 8/03/2016,10:12:56,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        97, 8/03/2016,10:12:57,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        98, 8/03/2016,10:12:58,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        99, 8/03/2016,10:12:59,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       100, 8/03/2016,10:13:00,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       101, 8/03/2016,10:13:01,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       102, 8/03/2016,10:13:02,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       103, 8/03/2016,10:13:03,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       104, 8/03/2016,10:13:04,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       105, 8/03/2016,10:13:05,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       106, 8/03/2016,10:13:06,   5.700000E-01,   6.400000E-01,   0.000000E+00,   0.000000E+00
       107, 8/03/2016,10:13:07,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       108, 8/03/2016,10:13:08,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       109, 8/03/2016,10:13:09,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       110, 8/03/2016,10:13:10,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       111, 8/03/2016,10:13:11,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       112, 8/03/2016,10:13:12,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       113, 8/03/2016,10:13:13,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       114, 8/03/2016,10:13:14,   5.600000E-01,   6.100000E-01,   0.000000E+00,   0.000000E+00
       115, 8/03/2016,10:13:15,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       116, 8/03/2016,10:13:16,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       117, 8/03/2016,10:13:17,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       118, 8/03/2016,10:13:18,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       119, 8/03/2016,10:13:19,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       120, 8/03/2016,10:13:20,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       121, 8/03/2016,10:13:21,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       122, 8/03/2016,10:13:22,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       123, 8/03/2016,10:13:23,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       124, 8/03/2016,10:13:24,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       125, 8/03/2016,10:13:25,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
